n,time On,time On_2
5000,0.000125,0.041319
6000,0.000054,0.04636
7000,0.000059,0.063189
8000,0.000067,0.083024
9000,0.000079,0.104501
10000,0.000083,0.129045
11000,0.000091,0.156398
12000,0.000102,0.185957
13000,0.000109,0.218242
14000,0.000116,0.253306
15000,0.000126,0.290783
16000,0.000132,0.3312
17000,0.000167,0.373852
18000,0.000157,0.419119
19000,0.000162,0.466968
20000,0.000171,0.517508
21000,0.000186,0.570558
22000,0.000189,0.626312
23000,0.000197,0.6846
24000,0.000208,0.74554
25000,0.000217,0.809012
26000,0.000226,0.874946
27000,0.000244,0.943992
28000,0.00026,1.014928
29000,0.000262,1.088803
30000,0.000267,1.16536
31000,0.000282,1.244146
32000,0.000301,1.325804
33000,0.000308,1.409908
34000,0.00036,1.497021
35000,0.00037,1.586349
36000,0.000373,1.678335
37000,0.000378,1.772999
38000,0.000397,1.870251
39000,0.000396,1.969849
40000,0.000408,2.072144
41000,0.000424,2.177856
42000,0.000425,2.284909
43000,0.0004,2.134778
44000,0.000384,2.054099
45000,0.000381,2.139976
46000,0.000388,2.236591
47000,0.000386,2.334872
48000,0.000402,2.434665
49000,0.000399,2.53715
50000,0.000432,2.641665
